"","task.id","learner.id","bac.test.mean","multiclass.fscore.test.mean","multiclass.gmean.test.mean"
"1","Aggregated","classif.rpart",0.710222853535354,0.709280901461044,0.779074215368551
"2","Aggregated","classif.kknn",0.827558712121212,0.832432557206696,0.870772321143666
"3","Aggregated","classif.multinom",0.85773547979798,0.856893538217345,0.896106222445894
"4","Aggregated","classif.ranger",0.839256313131313,0.84548329947899,0.879700485056204
"5","Aggregated","classif.svm",0.858309343434343,0.86609053687872,0.892570720863015
"6","Aggregated","classif.nnet",0.844651515151515,0.8397900171347,0.883548203295696
"7","Aggregated","classif.naiveBayes",0.728090909090909,0.688513180877051,0.786269321860657
"8","Aggregated","Random",0.328171085858586,0.324359311175503,0.39875948271797
"9","Aggregated","Majority",0.333333333333333,0.251650529337637,0
"10","Aggregated","classif.rpart.overbagged",0.757179292929293,0.749284906747882,0.813770485515074
"11","Aggregated","classif.kknn.overbagged",0.806842803030303,0.80405946602743,0.855295794443214
"12","Aggregated","classif.multinom.overbagged",0.858231060606061,0.858233492734068,0.896718861663386
"13","Aggregated","classif.ranger.overbagged",0.814108585858586,0.813323622715777,0.861472539727676
"14","Aggregated","classif.svm.overbagged",0.839125,0.840876098119984,0.880736256450517
"15","Aggregated","classif.nnet.overbagged",0.870868686868687,0.869471683703257,0.905806285818509
"16","Aggregated","classif.naiveBayes.overbagged",0.726280303030303,0.685165926411513,0.785221516041349
"17","Aggregated","Random.overbagged",0.31635101010101,0.276718206006266,0.337678295501219
"18","Aggregated","Majority.overbagged",0.333373106060606,0.252174456556878,0.00642417057747968
"19","Color Channels","classif.rpart",0.713375,0.714714278330585,0.780699186945487
"20","Color Channels","classif.kknn",0.846097222222222,0.852782020106405,0.8855359323535
"21","Color Channels","classif.multinom",0.830626262626263,0.833702669296736,0.872568019862491
"22","Color Channels","classif.ranger",0.834395833333333,0.841571313051254,0.874886685449145
"23","Color Channels","classif.svm",0.85754797979798,0.861349413372597,0.894585261353035
"24","Color Channels","classif.nnet",0.81727398989899,0.8115123152027,0.858902372907763
"25","Color Channels","classif.naiveBayes",0.818474747474747,0.819414886277732,0.862905537140688
"26","Color Channels","Random",0.333917297979798,0.329618780335632,0.408532541980263
"27","Color Channels","Majority",0.333333333333333,0.251650844941024,0
"28","Color Channels","classif.rpart.overbagged",0.758082070707071,0.748870173157874,0.814583520660141
"29","Color Channels","classif.kknn.overbagged",0.828728535353535,0.827858646937793,0.873651986108295
"30","Color Channels","classif.multinom.overbagged",0.814934343434343,0.807233247779768,0.860834213200805
"31","Color Channels","classif.ranger.overbagged",0.821528409090909,0.822494638095657,0.866602306976898
"32","Color Channels","classif.svm.overbagged",0.840347853535354,0.838717394472382,0.88327054780287
"33","Color Channels","classif.nnet.overbagged",0.846144570707071,0.837160787069514,0.886178041670888
"34","Color Channels","classif.naiveBayes.overbagged",0.811243055555556,0.809417076373648,0.859094721521675
"35","Color Channels","Random.overbagged",0.349129419191919,0.30175546416178,0.367310135973957
"36","Color Channels","Majority.overbagged",0.333901515151515,0.252463097490622,0.00377769207385742
"37","Complete","classif.rpart",0.769388888888889,0.76621309285861,0.824934575143728
"38","Complete","classif.kknn",0.812852904040404,0.818282084786048,0.859095153029562
"39","Complete","classif.multinom",0.829243055555556,0.825220337970336,0.870954963726556
"40","Complete","classif.ranger",0.853316919191919,0.860008468607188,0.891231460481258
"41","Complete","classif.svm",0.849910353535353,0.860185157822077,0.885208948390432
"42","Complete","classif.nnet",0.832986111111111,0.826309299020622,0.875309452765874
"43","Complete","classif.naiveBayes",0.716662247474747,0.6725025797901,0.772678182237949
"44","Complete","Random",0.33608648989899,0.332009299202083,0.411128789683211
"45","Complete","Majority",0.333333333333333,0.251648338832994,0
"46","Complete","classif.rpart.overbagged",0.782208964646465,0.771889668884778,0.834851972892579
"47","Complete","classif.kknn.overbagged",0.808877525252525,0.804923997772577,0.856353783505508
"48","Complete","classif.multinom.overbagged",0.836522095959596,0.83356477932158,0.878168762506002
"49","Complete","classif.ranger.overbagged",0.83949494949495,0.84012895040503,0.880410439229322
"50","Complete","classif.svm.overbagged",0.843434343434343,0.846250848962664,0.883259452976669
"51","Complete","classif.nnet.overbagged",0.863017676767677,0.85933369367388,0.898197062983956
"52","Complete","classif.naiveBayes.overbagged",0.72259595959596,0.677657812174241,0.778417975562757
"53","Complete","Random.overbagged",0.338806818181818,0.291801205806224,0.356503208062483
"54","Complete","Majority.overbagged",0.333333333333333,0.251648338832994,0
"55","Histograms","classif.rpart",0.620042929292929,0.635092726434355,0.68139775179544
"56","Histograms","classif.kknn",0.613404671717172,0.627315678147667,0.682656026110279
"57","Histograms","classif.multinom",0.658656565656566,0.673799140612968,0.725655610166821
"58","Histograms","classif.ranger",0.64840404040404,0.660991030296666,0.711472970552379
"59","Histograms","classif.svm",0.668227272727273,0.688052709156246,0.729547230579005
"60","Histograms","classif.nnet",0.667070075757576,0.671378627108844,0.728763923581427
"61","Histograms","classif.naiveBayes",0.531655303030303,0.475055549580565,0.589754309622779
"62","Histograms","Random",0.344997474747475,0.341525049428146,0.419721777736985
"63","Histograms","Majority",0.333333333333333,0.251651547654614,0
"64","Histograms","classif.rpart.overbagged",0.620349747474747,0.608272823083197,0.666924942744051
"65","Histograms","classif.kknn.overbagged",0.608609848484848,0.596082948972789,0.681707036120678
"66","Histograms","classif.multinom.overbagged",0.656722853535354,0.630585440913886,0.717795077661839
"67","Histograms","classif.ranger.overbagged",0.654308712121212,0.65617465350849,0.716032875737013
"68","Histograms","classif.svm.overbagged",0.653339015151515,0.629206069585177,0.709786180362902
"69","Histograms","classif.nnet.overbagged",0.686016414141414,0.677409670472415,0.749397676720297
"70","Histograms","classif.naiveBayes.overbagged",0.459832702020202,0.364474591234537,0.47115032275058
"71","Histograms","Random.overbagged",0.336317550505051,0.292704510015186,0.359232963625245
"72","Histograms","Majority.overbagged",0.333272727272727,0.252338729358164,0.00652273241558507
"73","Other Features","classif.rpart",0.64434595959596,0.648180330986844,0.724006634946211
"74","Other Features","classif.kknn",0.673048611111111,0.681647163699683,0.742595313989241
"75","Other Features","classif.multinom",0.790898358585859,0.790832996677052,0.845608018392682
"76","Other Features","classif.ranger",0.751165404040404,0.764219813911745,0.80674258481298
"77","Other Features","classif.svm",0.770171085858586,0.784826457231232,0.822883914142293
"78","Other Features","classif.nnet",0.752760732323232,0.745112364549113,0.814756516855015
"79","Other Features","classif.naiveBayes",0.477681186868687,0.397361577738909,0.514526699627013
"80","Other Features","Random",0.317176136363636,0.314736106391429,0.380436753369218
"81","Other Features","Majority",0.333333333333333,0.251648946079367,0
"82","Other Features","classif.rpart.overbagged",0.671219065656566,0.648304083734772,0.730643065606598
"83","Other Features","classif.kknn.overbagged",0.674552398989899,0.667615398709859,0.747245227782586
"84","Other Features","classif.multinom.overbagged",0.784306818181818,0.776844851046286,0.839357881883125
