"","task.id","learner.id","iter","bac","multiclass.fscore","multiclass.gmean"
"1","Aggregated","classif.rpart",1,0.822222222222222,0.829092632077707,0.867974492791307
"2","Aggregated","classif.rpart",2,0.696969696969697,0.676193078324226,0.785533416135678
"3","Aggregated","classif.rpart",3,0.685606060606061,0.68228088336784,0.764024981214252
"4","Aggregated","classif.rpart",4,0.504040404040404,0.503163503163503,0.61049967637159
"5","Aggregated","classif.rpart",5,0.606818181818182,0.617231303798468,0.689527960326475
"6","Aggregated","classif.rpart",6,0.818181818181818,0.824597624597625,0.877419548856521
"7","Aggregated","classif.rpart",7,0.725252525252525,0.731557523387846,0.782912961346889
"8","Aggregated","classif.rpart",8,0.823232323232323,0.816596365996107,0.865840206418787
"9","Aggregated","classif.rpart",9,0.8125,0.821727395411606,0.860873143362083
"10","Aggregated","classif.rpart",10,0.475189393939394,0.466939179982658,0.579642361828973
"11","Aggregated","classif.rpart",11,0.771717171717172,0.75618961352657,0.834383019855137
"12","Aggregated","classif.rpart",12,0.696780303030303,0.668596986817326,0.761647425835574
"13","Aggregated","classif.rpart",13,0.685606060606061,0.694425863991081,0.762104614280395
"14","Aggregated","classif.rpart",14,0.646464646464647,0.660140689888974,0.731593950650738
"15","Aggregated","classif.rpart",15,0.628282828282828,0.642577030812325,0.711005565596852
"16","Aggregated","classif.rpart",16,0.656565656565657,0.658122431321653,0.739303234143012
"17","Aggregated","classif.rpart",17,0.777462121212121,0.778475033738192,0.840350440892914
"18","Aggregated","classif.rpart",18,0.733333333333333,0.722134668273539,0.788498342096271
"19","Aggregated","classif.rpart",19,0.735353535353535,0.712318430484814,0.799048701369621
"20","Aggregated","classif.rpart",20,0.729734848484848,0.721500721500722,0.794105685858796
"21","Aggregated","classif.rpart",21,0.838383838383838,0.845944192083063,0.885038195197922
"22","Aggregated","classif.rpart",22,0.706439393939394,0.727450980392157,0.772331369371357
"23","Aggregated","classif.rpart",23,0.513825757575758,0.517460317460317,0.605091544876891
"24","Aggregated","classif.rpart",24,0.635416666666667,0.642135642135642,0.72466017467673
"25","Aggregated","classif.rpart",25,0.735353535353535,0.730184435447593,0.805770419957679
"26","Aggregated","classif.rpart",26,0.74949494949495,0.747474747474747,0.80196766803536
"27","Aggregated","classif.rpart",27,0.835353535353535,0.829319955406912,0.872636111671161
"28","Aggregated","classif.rpart",28,0.626262626262626,0.619497089062306,0.72511482880604
"29","Aggregated","classif.rpart",29,0.771780303030303,0.758730158730159,0.831474603382239
"30","Aggregated","classif.rpart",30,0.660037878787879,0.656565656565657,0.747055936849453
"31","Aggregated","classif.rpart",31,0.65530303030303,0.653771929824561,0.742093616777575
"32","Aggregated","classif.rpart",32,0.636363636363636,0.656084656084656,0.709131839510412
"33","Aggregated","classif.rpart",33,0.656565656565657,0.676190476190476,0.723341122154807
"34","Aggregated","classif.rpart",34,0.703030303030303,0.704032809295967,0.784769044542009
"35","Aggregated","classif.rpart",35,0.667676767676768,0.681275890637945,0.729277843283624
"36","Aggregated","classif.rpart",36,0.712878787878788,0.680160236137466,0.778047503525097
"37","Aggregated","classif.rpart",37,0.784848484848485,0.781599250126181,0.830769579178262
"38","Aggregated","classif.rpart",38,0.757954545454545,0.763247863247863,0.82402471885751
"39","Aggregated","classif.rpart",39,0.59375,0.59375,0.682561717210993
"40","Aggregated","classif.rpart",40,0.724621212121212,0.737373737373737,0.795440096030659
"41","Aggregated","classif.rpart",41,0.736742424242424,0.751458020900283,0.798273538431625
"42","Aggregated","classif.rpart",42,0.696022727272727,0.704682274247492,0.775043158149291
"43","Aggregated","classif.rpart",43,0.505050505050505,0.505244223052442,0.568671142093234
"44","Aggregated","classif.rpart",44,0.638383838383838,0.644112769485904,0.725136391586581
"45","Aggregated","classif.rpart",45,0.78989898989899,0.78761085874973,0.845505537558134
"46","Aggregated","classif.rpart",46,0.715909090909091,0.719928025191183,0.781711183744593
"47","Aggregated","classif.rpart",47,0.75959595959596,0.742664742664743,0.831629414265153
"48","Aggregated","classif.rpart",48,0.75959595959596,0.752991452991453,0.822672193570076
"49","Aggregated","classif.rpart",49,0.754924242424242,0.760642865906024,0.821763409417247
"50","Aggregated","classif.rpart",50,0.783901515151515,0.767404622667781,0.839359646197891
"51","Aggregated","classif.rpart",51,0.748484848484848,0.754063018242123,0.811513172668032
"52","Aggregated","classif.rpart",52,0.727272727272727,0.72439489928525,0.792725974566282
"53","Aggregated","classif.rpart",53,0.63030303030303,0.611471861471861,0.680853290053432
"54","Aggregated","classif.rpart",54,0.701704545454545,0.715865118850193,0.778755305981285
"55","Aggregated","classif.rpart",55,0.787310606060606,0.775171065493646,0.83988971156365
"56","Aggregated","classif.rpart",56,0.795959595959596,0.77700713210757,0.85446288712748
"57","Aggregated","classif.rpart",57,0.707070707070707,0.735524256651017,0.766822266847961
"58","Aggregated","classif.rpart",58,0.727272727272727,0.746474028207774,0.798365434313187
"59","Aggregated","classif.rpart",59,0.825,0.800213827512473,0.873444237515912
"60","Aggregated","classif.rpart",60,0.704166666666667,0.688193409504885,0.781332699428197
"61","Aggregated","classif.rpart",61,0.707070707070707,0.704834296138644,0.778393869451248
"62","Aggregated","classif.rpart",62,0.675189393939394,0.674624741200828,0.753576512857433
"63","Aggregated","classif.rpart",63,0.735353535353535,0.732991452991453,0.805252012119571
"64","Aggregated","classif.rpart",64,0.745833333333333,0.751551956815115,0.815108118563297
"65","Aggregated","classif.rpart",65,0.795643939393939,0.801040505388331,0.854736181927604
"66","Aggregated","classif.rpart",66,0.665719696969697,0.657981803143094,0.763954118106264
"67","Aggregated","classif.rpart",67,0.78125,0.767674559805707,0.838185872777848
"68","Aggregated","classif.rpart",68,0.803030303030303,0.809377027903958,0.843627057474264
"69","Aggregated","classif.rpart",69,0.767676767676768,0.773675102747134,0.831072585097218
"70","Aggregated","classif.rpart",70,0.768686868686869,0.762653288740245,0.829233839471707
"71","Aggregated","classif.rpart",71,0.686868686868687,0.693404634581105,0.755163341076308
"72","Aggregated","classif.rpart",72,0.738068181818182,0.769302483261293,0.793156023241126
"73","Aggregated","classif.rpart",73,0.8,0.823281254545983,0.855030270388721
"74","Aggregated","classif.rpart",74,0.713131313131313,0.701704545454546,0.806821155741604
"75","Aggregated","classif.rpart",75,0.757575757575758,0.753754376266814,0.807570479163932
"76","Aggregated","classif.rpart",76,0.767676767676768,0.72962962962963,0.819905655734245
"77","Aggregated","classif.rpart",77,0.616161616161616,0.610606060606061,0.706262950226466
"78","Aggregated","classif.rpart",78,0.675189393939394,0.677502067824649,0.763104386921213
"79","Aggregated","classif.rpart",79,0.658333333333333,0.660923141186299,0.745911241511411
"80","Aggregated","classif.rpart",80,0.683901515151515,0.69357116313638,0.76555145456664
"81","Aggregated","classif.rpart",81,0.675189393939394,0.66343945513582,0.766959156806365
"82","Aggregated","classif.rpart",82,0.739393939393939,0.710736488130794,0.811888224297148
"83","Aggregated","classif.rpart",83,0.691919191919192,0.703916654381051,0.753011800017367
"84","Aggregated","classif.rpart",84,0.704040404040404,0.662705314009662,0.77547406840813
"85","Aggregated","classif.rpart",85,0.667045454545454,0.668072680077871,0.739017076174729
"86","Aggregated","classif.rpart",86,0.727272727272727,0.741055488109691,0.80340145235717
"87","Aggregated","classif.rpart",87,0.751515151515152,0.718052657724789,0.803337529968619
"88","Aggregated","classif.rpart",88,0.723232323232323,0.716958684836686,0.797529988274259
"89","Aggregated","classif.rpart",89,0.697348484848485,0.707279392511128,0.767258694353833
"90","Aggregated","classif.rpart",90,0.65530303030303,0.653198653198653,0.727006769978757
"91","Aggregated","classif.rpart",91,0.676767676767677,0.723723723723724,0.725345038733964
"92","Aggregated","classif.rpart",92,0.622916666666667,0.623809523809524,0.678730022569011
"93","Aggregated","classif.rpart",93,0.611111111111111,0.596729318040793,0.719385110202406
"94","Aggregated","classif.rpart",94,0.771717171717172,0.757638888888889,0.833947054684778
"95","Aggregated","classif.rpart",95,0.797979797979798,0.787179487179487,0.840556529989479
