"","Name_file","rotulo","cor_RG","cor_RS","cor_GI","cor_BH","cor_BV","cor_HS","cor_VI","mean_H","std_H","mean_S","std_S","kurt_hist_H","std_hist_S","kurt_hist_V","mean_B","std_B","nump_sobel","hu_sobel1","hu_sobel3","hu_sobel4","hu_sobel5","hu_sobel6","hu_sobel7","hu_canny1","hu_canny3","hu_canny4","hu_canny5","hu_canny6","hu_canny7","entropy_I","lbp_3","lbp_4","lbp_6","com_entropy","FFT_energy","FFT_intertia","FFT_homogeneity","SNM","EME"
"464","d5_t3_20uL_r5.jpg","3",0.993936529261027,-0.0908664448521228,0.999678783724066,-0.272073835577092,0.99171361717215,0.193275606006121,0.998439790574835,0.34329984,0.228329143948797,0.11368881,0.0663533326401479,20.9798135937238,0.00774176228292635,5.1163250183801,98.9098581184406,61.7614533529093,0.960414043450032,0.14834683036988,-2.1037323799423e-05,1.43248031322482e-06,0.046822263201225,1.2363332835137e-06,-1.97510441859952e-06,6.46296296299746,-1.17901234566751,-8.67783587548659,2.40637860084987,2.72538631365691,1.51008642501044,7.34018844448588,0.364506044590506,0.630749012770751,0.218245601274126,0.728224498869158,0.861398052298249,6.63545841027143,0.00169189382423504,0.343778769991478,5.33562335857411
"465","d5_t3_40uL_r1.jpg","1",0.995179760087653,-0.192484170254162,0.9996723816331,-0.149896390029946,0.994106156881716,0.265417787461467,0.999002150212975,0.38445592,0.24399675332225,0.09468372,0.0636469253101331,22.7251805146736,0.00902551485606627,6.59412651242598,87.2424015330275,56.0606190150158,0.956267532651663,0.148321953131866,4.18375160748565e-06,4.62528775360272e-06,0.0468311986691382,2.70454605992598e-06,-1.11810919965895e-06,0.822330777800826,-1.06998439512141,0.320697315553751,2.81396295542742,-1.31456718927696,3.70251977218796,7.27099268834616,0.34608150157741,0.583692359461363,0.224369193047105,0.664117627172942,0.853345905558997,7.2437916375937,0.00173659537729257,0.169357604468701,4.9059885740524
"466","d5_t3_40uL_r2.jpg","1",0.995102824837961,-0.17189051031349,0.999686965010389,0.0436207381601885,0.994835833727834,0.24939737209848,0.998947617945718,0.33851498,0.238286640304105,0.09194861,0.0603523440313245,53.9967073100714,0.0088750253629098,3.49770702659298,91.1128784886671,58.2519206444541,0.934873337316684,0.148372383200145,-2.03650634720815e-05,6.66332521733202e-06,0.0468113630285274,1.80099544472038e-06,-1.86601932646441e-06,0.239149305562023,0.368489583343035,0.0807834411061776,0.985677083328483,0.125336368608032,-0.427246086299419,7.47070330227503,0.329549185468541,0.598470737614982,0.214847279841164,0.634318315496649,0.864661928966435,6.22636369286729,0.00169190798007337,0.173846629696025,4.79273617351908
"467","d5_t3_40uL_r3.jpg","1",0.99488446210683,-0.206186986515868,0.999678855504172,-0.134192149367471,0.994933718591883,0.354322885255982,0.998764161581555,0.368983,0.221167971304648,0.100758865,0.064851932653146,22.5144555805514,0.00817863508697636,3.08467146884599,90.4196325189969,57.2754657196349,0.936383409905941,0,0,0,0,0,0,0.224888888895512,0.175555555559695,-0.0125554277297053,0.182222222238779,-0.0215503478152484,-0.0221125170189446,7.50347450001273,0.333912410985858,0.610569592218338,0.214621649786183,0.674825699912723,0.867444437317539,7.0130707931936,0.0017472551685316,0.201297165478261,4.9664124454007
"468","d5_t3_40uL_r4.jpg","1",0.995765017261842,-0.192377603238413,0.999738993014475,-0.078336708315295,0.993983908509397,0.281246892879257,0.99890052819482,0.35807565,0.236397300549987,0.09188488,0.0588869365284625,43.7560919928594,0.00872054986710377,3.00488350733372,92.6150293856525,58.2162062518959,0.931335581563612,0,0,0,0,0,0,0.433333333320916,0.506666666679084,-0.0204724373878089,0.629111111108214,-0.0565476860878948,-0.114897449097045,7.54015498293162,0.322492567499918,0.598622743552951,0.210182663996131,0.659303747075249,0.868516212673674,6.29803380784965,0.00171723483698703,0.200114948476869,4.72073720683151
"469","d5_t3_40uL_r5.jpg","1",0.993433138989566,-0.103396605443061,0.999571905324419,-0.13932058206525,0.992825400884952,0.263284494223703,0.998722716593152,0.37464577,0.219168326446116,0.09168233,0.0580167065572379,16.68222397647,0.00875445745335733,3.37136026628522,98.2918198400133,53.1540143838959,0.945931074525796,0,0,0,0,0,0,0,0,0,0,0,0,7.48067499403697,0.330292671909532,0.577355676615666,0.198659719276869,0.653177855346915,0.891541362087263,6.39896223745525,0.00167638663844335,0.221955588404968,3.92153063078433
"470","d5_t3_60uL_r1.jpg","1",0.994439073792039,-0.229742484161853,0.999634483346903,-0.128360481759684,0.993693988285016,0.204397492588942,0.999062945028002,0.39163816,0.235170433710055,0.100880794,0.0614393804475667,14.9714005569519,0.00855698406451187,3.16631994657629,87.1374301085069,55.1596530185536,0.932238024347951,0,0,0,0,0,0,0.23,0.286666666641831,0.0954055954730657,1.01666666666046,0.268328177837596,-0.223606793485018,7.37332994724938,0.34380298633527,0.582878415437585,0.221561987299367,0.683321517606581,0.86482965024313,7.62778714074404,0.00173100043642388,0.187491020150474,5.20436548209385
"471","d5_t3_60uL_r2.jpg","1",0.995558578096205,-0.194411154506747,0.999706557165972,-0.180905846184388,0.994876524378606,0.184595434660374,0.999160255883204,0.39981377,0.216684641349023,0.08705602,0.0530623580560331,23.9379926446993,0.00916616356934042,2.69565502024108,93.5198621805583,56.8725250945882,0.948514626437073,0,0,0,0,0,0,0.111111111240461,0.152777777781012,0.0140766656526191,0.788194444445253,-0.0694012178921005,-0.660375533693793,7.51547676328356,0.354262248784901,0.621452570142514,0.221588395533663,0.688204411234818,0.872690611348471,7.53699896570712,0.00172874425411782,0.262159210873838,5.22468789720152
"472","d5_t3_60uL_r3.jpg","1",0.995521563438678,-0.232341014685403,0.999724193302765,-0.0137569341211266,0.994913859263182,0.224976418347235,0.99891926888611,0.3465391,0.22821174151283,0.0902541,0.0582696717674689,86.1912281013637,0.00875213102527023,2.80774885289902,93.0258400200743,58.9647958540644,0.94046690724306,0,0,0,0,0,0,0.152263374585244,-0.125514403296014,-0.00589863224858861,0.152263374507634,-0.00589875192344973,0.0162776585141767,7.51210399233917,0.352903728532589,0.60618098259539,0.217749168667175,0.695760129292436,0.868518457320858,7.33131036614339,0.00172948795904413,0.246182473630398,5.09032342292616
"473","d5_t3_60uL_r4.jpg","1",0.994997453802742,-0.293797381900037,0.999683461951946,-0.12168951955868,0.994776863683803,0.211566696975971,0.999037068036388,0.38794595,0.226502002909412,0.10107857,0.0581366035711071,20.7814064729352,0.00824283242411515,3.52211871264958,91.1532453620405,58.1538633086717,0.943929271890708,0.104166666656965,0,5.82076609134674e-11,0.0625,0,0,0.238144160443758,0.0964083175803403,-0.0686953328960919,0.0944129384610457,-0.0299081450151791,-0.0117841375187446,7.41779485606863,0.314105597846969,0.575403531173256,0.204895079203503,0.623179459373085,0.864718813773982,5.8709238570984,0.00174082659384986,0.149115524079764,4.34844489280434
